Number,Title,Artist,Year,Division,Women,POC
1,By and By,Caamp,2019,MLL,n,n
2,North Hills,Dawes,2009,MLL,n,n
3,Go Farther in Lightness,Gang of Youths,2017,MLL,n,y
4,Hallelujah Anyhow,Hiss Golden Messenger,2017,D1,n,n
5,Terms of Surrender,Hiss Golden Messenger,2019,D1,n,n
6,Crushing,Julia Jacklin,2019,MLL,y,n
7,Turn off the News and Build a Garden,Lukas Nelson and Promise of the Real,2019,D2,n,n
8,Musas,Natalia Lafourcade,2017,D2,y,y
9,Tearing at the Seams,Nathaniel Rateliff and the Night Sweats,2018,D2,n,n
10,In the Aeroplane over the Sea,Neutral Milk Hotel,1998,D2,n,n
11,Pink Moon,Nick Drake,1972,MLL,n,n
12,Sail Away,Randy Newman,1972,MLL,n,n
13,Sound and Fury,Sturgill Simpson,2019,D1,n,n
14,Modern Johnny Sings,Theo Katzman,2020,D2,n,n
15,The Wilds,Henry Jamison,2017,MLL,n,n
16,Skylight,Pinegrove,2018,D2,n,n
17,"For Emma, Forever Ago",Bon Iver,2008,D2,n,n
18,In Memory of Loss,Nathaniel Rateliff,2010,D2,n,n
19,Boygenius,Boygenius,2018,D2,y,n
20,Five Leaves Left,Nick Drake,1969,D2,n,n
21,Better Oblivion Community Center,Better Oblivion Community Center,2019,MLL,y,n
22,I Am Easy to Find,The National,2019,D2,n,n
23,Heart Like a Levee,Hiss Golden Messenger,2016,D1,n,n
24,This Empty Northern Hemisphere,Gregory Alan Isakov,2009,D1,n,n
25,Kingdom in my Mind,The Wood Brothers,2020,D2,n,n
26,Catalina Breeze,Blue Jean Committee,2015,D1,n,n
27,UFOF,Big Thief,2019,D2,y,n
28,Boys,Caamp,2018,D1,n,n
29,The Good Life,Sammy Rae and the Friends,2018,D2,y,y
30,Navigator,Hurray for the Riff Raff,2017,D1,y,y
31,Tides of a Teardrop,Mandolin Orange,2019,D2,y,n
32,"By the Way, I Forgive You",Brandi Carlile,2018,D1,y,n
33,Stranger in the Alps,Phoebe Bridgers,2017,D1,y,n
34,Little Criminals,Randy Newman,1977,D1,n,n
35,Small Town Heroes,Hurray for the Riff Raff,2014,D2,y,y
36,Father of the Bride,Vampire Weekend,2019,D2,n,n
